x-axis,1,2,3
second,Volt,Volt,Volt
-330.300E-03,,,
-325.300E-03,-30.402E-03,-2.733668E+00,+4.283606E+00
-320.300E-03,+50.000E-03,-2.733668E+00,+4.459485E+00
-315.300E-03,+60.050E-03,-2.743719E+00,+4.384108E+00
-310.300E-03,+50.000E-03,-2.733668E+00,+4.032349E+00
-305.300E-03,+50.000E-03,-2.814070E+00,+4.082601E+00
-300.300E-03,-30.402E-03,-2.733668E+00,+4.032349E+00
-295.300E-03,+44.975E-03,-2.738693E+00,+3.655465E+00
-290.300E-03,+44.975E-03,-2.733668E+00,+4.409234E+00
-285.300E-03,-30.402E-03,-2.733668E+00,+4.032349E+00
-280.300E-03,-30.402E-03,-2.984925E+00,+3.504711E+00
-275.300E-03,+50.000E-03,-2.733668E+00,+4.283606E+00
-270.300E-03,-30.402E-03,-3.015075E+00,+3.755967E+00
-265.300E-03,-100.754E-03,-2.753769E+00,+4.183103E+00
-260.300E-03,+50.000E-03,-2.733668E+00,+4.258480E+00
-255.300E-03,+50.000E-03,-2.738693E+00,+4.233354E+00
-250.300E-03,-30.402E-03,-2.884422E+00,+4.208229E+00
-245.300E-03,+44.975E-03,-2.884422E+00,+3.592651E+00
-240.300E-03,-20.352E-03,-2.733668E+00,+3.881596E+00
-235.300E-03,-90.704E-03,-2.814070E+00,+4.208229E+00
-230.300E-03,-40.452E-03,-2.743719E+00,+4.183103E+00
-225.300E-03,+50.000E-03,-2.814070E+00,+3.956972E+00
-220.300E-03,-30.402E-03,-2.738693E+00,+3.856470E+00
-215.300E-03,+50.000E-03,-2.733668E+00,+4.283606E+00
-210.300E-03,+44.975E-03,-3.015075E+00,+3.542400E+00
-205.300E-03,+110.302E-03,-2.733668E+00,+4.082601E+00
-200.300E-03,+50.000E-03,-2.814070E+00,+4.358982E+00
-195.300E-03,+110.302E-03,-2.733668E+00,+4.107726E+00
-190.300E-03,+130.402E-03,-2.743719E+00,+3.705716E+00
-185.300E-03,+50.000E-03,-2.743719E+00,+4.233354E+00
-180.300E-03,+130.402E-03,-2.804020E+00,+4.484611E+00
-175.300E-03,+44.975E-03,-2.733668E+00,+3.693153E+00
-170.300E-03,+110.302E-03,-2.804020E+00,+3.944410E+00
-165.300E-03,+44.975E-03,-2.733668E+00,+3.718279E+00
-160.300E-03,+29.899E-03,-2.743719E+00,+4.132852E+00
-155.300E-03,-20.352E-03,-2.804020E+00,+4.258480E+00
-150.300E-03,-20.352E-03,-2.804020E+00,+4.107726E+00
-145.300E-03,+110.302E-03,-2.804020E+00,+4.258480E+00
-140.300E-03,-20.352E-03,-2.804020E+00,+4.057475E+00
-135.300E-03,+50.000E-03,-2.733668E+00,+4.032349E+00
-130.300E-03,+50.000E-03,-2.814070E+00,+4.296168E+00
-125.300E-03,-35.427E-03,-2.738693E+00,+3.718279E+00
-120.300E-03,-20.352E-03,-2.733668E+00,+4.409234E+00
-115.300E-03,+120.352E-03,-2.743719E+00,+3.755967E+00
-110.300E-03,-30.402E-03,-3.025126E+00,+3.831344E+00
-105.300E-03,+60.050E-03,-2.733668E+00,+3.705716E+00
-100.300E-03,-20.352E-03,-2.753769E+00,+4.308731E+00
-95.300E-03,+50.000E-03,-2.773869E+00,+4.007224E+00
-90.300E-03,+50.000E-03,-2.804020E+00,+3.680590E+00
-85.300E-03,+120.352E-03,-2.733668E+00,+4.032349E+00
